seq.1.30.,depth_range,dawn,dusk,dawn_t,dusk_t,dawn_num,dusk_num,noon_num,noon_t,noon_hour,average,estimated_long,,Equation of Time calculation,,,
1,339.3-344.1,6/01/2020 7:40,6/01/2020 17:55,6/01/2020 7:40,6/01/2020 17:55,1578296400,1578333300,1578314850,6/01/2020 12:47,12:47,,,,Degree rotation per day,360,°,
2,385.0-393.3,6/01/2020 7:45,6/01/2020 17:45,6/01/2020 7:45,6/01/2020 17:45,1578296700,1578332700,1578314700,6/01/2020 12:45,12:45,12:40,-8.595833333,,minutes per day,1440,min,
3,481.3-494.2,6/01/2020 7:55,6/01/2020 17:05,6/01/2020 7:55,6/01/2020 17:05,1578297300,1578330300,1578313800,6/01/2020 12:30,12:30,,,,"degrees for each minute past noon, then eqn of time correction",0.25,°/min,
4,369.9-371.8,7/01/2020 7:35,7/01/2020 17:40,7/01/2020 7:35,7/01/2020 17:40,1578382500,1578418800,1578400650,7/01/2020 12:37,12:37,,,,Minutes past noon,38,min,
5,392.6-396.9,7/01/2020 7:40,7/01/2020 17:35,7/01/2020 7:40,7/01/2020 17:35,1578382800,1578418500,1578400650,7/01/2020 12:37,12:37,12:35,-7.2375,,degrees past meridian,-9.5,°,34 * 0.25; negative because to the west
6,469.4-470.9,7/01/2020 8:00,7/01/2020 17:05,7/01/2020 8:00,7/01/2020 17:05,1578384000,1578416700,1578400350,7/01/2020 12:32,12:32,,,,eqn time correction,-2.308333333,,on 03/02/2020
7,463.7-465.4,8/01/2020 7:50,8/01/2020 17:25,8/01/2020 7:50,8/01/2020 17:25,1578469800,1578504300,1578487050,8/01/2020 12:37,12:37,,,,correct longitude,-7.191666667,,
8,532.6-541.6,8/01/2020 8:10,8/01/2020 17:05,8/01/2020 8:10,8/01/2020 17:05,1578471000,1578503100,1578487050,8/01/2020 12:37,12:37,12:37,-7.629166667,,,,,
9,552.0-559.6,8/01/2020 8:15,8/01/2020 17:00,8/01/2020 8:15,8/01/2020 17:00,1578471300,1578502800,1578487050,8/01/2020 12:37,12:37,,,,,,,
10,486.6-495.5,9/01/2020 8:10,9/01/2020 17:20,9/01/2020 8:10,9/01/2020 17:20,1578557400,1578590400,1578573900,9/01/2020 12:45,12:45,,,,,,,
11,505.3-508.5,9/01/2020 8:15,9/01/2020 17:15,9/01/2020 8:15,9/01/2020 17:15,1578557700,1578590100,1578573900,9/01/2020 12:45,12:45,12:42,-8.775,,,,,
12,590.0-593.5,9/01/2020 8:35,9/01/2020 16:40,9/01/2020 8:35,9/01/2020 16:40,1578558900,1578588000,1578573450,9/01/2020 12:37,12:37,,,,,,,
13,477.6-478.8,10/01/2020 7:00,10/01/2020 17:25,10/01/2020 7:00,10/01/2020 17:25,1578639600,1578677100,1578658350,10/01/2020 12:12,12:12,,,,,,,
14,517.6-523.4,10/01/2020 7:10,10/01/2020 17:15,10/01/2020 7:10,10/01/2020 17:15,1578640200,1578676500,1578658350,10/01/2020 12:12,12:12,12:19,-2.920833333,,,,,
15,578.8-582.1,10/01/2020 8:15,10/01/2020 16:55,10/01/2020 8:15,10/01/2020 16:55,1578644100,1578675300,1578659700,10/01/2020 12:35,12:35,,,,,,,
16,433.6-440.7,11/01/2020 7:50,11/01/2020 17:30,11/01/2020 7:50,11/01/2020 17:30,1578729000,1578763800,1578746400,11/01/2020 12:40,12:40,,,,,,,
17,485.1-488.3,11/01/2020 8:00,11/01/2020 17:20,11/01/2020 8:00,11/01/2020 17:20,1578729600,1578763200,1578746400,11/01/2020 12:40,12:40,12:40,-8.070833333,,,,,
18,531.5-534.8,11/01/2020 8:10,11/01/2020 17:10,11/01/2020 8:10,11/01/2020 17:10,1578730200,1578762600,1578746400,11/01/2020 12:40,12:40,,,,,,,
19,440.0-446.7,12/01/2020 7:45,12/01/2020 17:40,12/01/2020 7:45,12/01/2020 17:40,1578815100,1578850800,1578832950,12/01/2020 12:42,12:42,,,,,,,
20,479.1-482.1,12/01/2020 7:50,12/01/2020 17:30,12/01/2020 7:50,12/01/2020 17:30,1578815400,1578850200,1578832800,12/01/2020 12:40,12:40,12:39,-7.720833333,,,,,
21,592.3-593.8,12/01/2020 8:20,12/01/2020 16:50,12/01/2020 8:20,12/01/2020 16:50,1578817200,1578847800,1578832500,12/01/2020 12:35,12:35,,,,,,,
22,482.6-483.2,13/01/2020 8:00,13/01/2020 17:35,13/01/2020 8:00,13/01/2020 17:35,1578902400,1578936900,1578919650,13/01/2020 12:47,12:47,,,,,,,
23,540.7-541.5,13/01/2020 8:10,13/01/2020 17:05,13/01/2020 8:10,13/01/2020 17:05,1578903000,1578935100,1578919050,13/01/2020 12:37,12:37,12:38,-7.375,,,,,
24,593.9-595.8,13/01/2020 8:25,13/01/2020 16:40,13/01/2020 8:25,13/01/2020 16:40,1578903900,1578933600,1578918750,13/01/2020 12:32,12:32,,,,,,,
25,467.8-478.7,14/01/2020 7:55,14/01/2020 17:30,14/01/2020 7:55,14/01/2020 17:30,1578988500,1579023000,1579005750,14/01/2020 12:42,12:42,,,,,,,
26,520.3-528.2,14/01/2020 8:05,14/01/2020 17:20,14/01/2020 8:05,14/01/2020 17:20,1578989100,1579022400,1579005750,14/01/2020 12:42,12:42,12:43,-8.533333333,,,,,
27,591.7-592.6,14/01/2020 8:45,14/01/2020 16:50,14/01/2020 8:45,14/01/2020 16:50,1578991500,1579020600,1579006050,14/01/2020 12:47,12:47,,,,,,,
28,411.2-411.6,15/01/2020 7:35,15/01/2020 17:45,15/01/2020 7:35,15/01/2020 17:45,1579073700,1579110300,1579092000,15/01/2020 12:40,12:40,,,,,,,
29,490.2-494.5,15/01/2020 7:50,15/01/2020 17:25,15/01/2020 7:50,15/01/2020 17:25,1579074600,1579109100,1579091850,15/01/2020 12:37,12:37,12:38,-7.191666667,,,,,
30,547.7-548.3,15/01/2020 8:05,15/01/2020 17:10,15/01/2020 8:05,15/01/2020 17:10,1579075500,1579108200,1579091850,15/01/2020 12:37,12:37,,,,,,,
