ID,country,start_dvm,end_dvm
A15700_2,Belgium,6/02/2019 0:00,7/02/2020 7:26
A15789,Belgium,3/02/2020 0:00,15/02/2020 16:11
A16031,Belgium,14/02/2019 0:00,16/02/2019 3:23
A17487,Belgium,3/02/2020 0:00,20/01/2021 12:56
A17510,Belgium,7/01/2020 0:00,15/01/2020 18:05
A17535,Belgium,12/01/2020 0:00,14/01/2020 5:16
A17537,Belgium,16/01/2020 0:00,17/01/2020 15:29
A17648,Belgium,4/01/2021 0:00,14/01/2021 5:25
A17463,Denmark,4/01/2020 0:00,22/03/2020 19:53
A17471,Denmark,1/12/2019 0:00,10/10/2020 15:16
A17476,Denmark,15/01/2020 0:00,24/03/2020 12:03
