ID,Direction,Onset,Country,Length,Weight,Rel_lat,Rel_long
9423,N,September,Germany,693,657,54.379323,9.013461
9393,N,November,Germany,714,701,53.569371,9.699569
17642,SW,December,Belgium,732,834.9,51.134861,2.757437
9358,N,September,Germany,738,904,54.379323,9.013461
15706,SW,December,Belgium,738,811,51.135237,2.757407
17646,SW,November,Belgium,745,942.3,51.134861,2.757437
15714,SW,December,Belgium,746,917,51.134985,2.757596
17521,SW,December,Belgium,753,901,51.134861,2.757437
17638,SW,December,Belgium,755,1143,51.134861,2.757437
9359,N,September,Germany,758,833,54.379323,9.013461
17663,SW,December,Belgium,761,852.6,51.134861,2.757437
9374,SW,November,Germany,762,770,53.569371,9.699569
9424,N,November,Germany,770,911,53.793387,9.40194
15730,SW,November,Belgium,770,1025,51.134893,2.757504
15777,SW,December,Belgium,770,896,51.135237,2.757407
17510,SW,December,Belgium,775,996,51.134861,2.757437
17538,SW,December,Belgium,779,986,51.134861,2.757437
15981,N,December,Belgium,785,1136,51.135237,2.757407
17653,SW,November,Belgium,786,978.4,51.134861,2.757437
9411,N,October,Germany,804,1190,54.379323,9.013461
17508,SW,November,Belgium,805,1148,51.134861,2.757437
174922,SW,December,Belgium,805,1053,51.134861,2.757437
15789,SW,December,Belgium,807,1254,51.134861,2.757437
175132,SW,December,Belgium,810,1064.1,51.134861,2.757437
17522,SW,December,Belgium,811,1123,51.134861,2.757498
174992,SW,December,Belgium,811,1328.3,51.134861,2.757437
15700,SW,November,Belgium,817,1051,51.134985,2.757596
16031,SW,December,Belgium,817,991,51.135237,2.757407
17536,SW,December,Belgium,820,1231,51.134861,2.757437
17443,SW,November,Belgium,821,1046,51.134861,2.757437
17499,N,November,Belgium,830,1044,51.134861,2.757437
17635,SW,December,Belgium,830,1279.9,51.134861,2.757437
17648,SW,December,Belgium,830,1504.8,51.134861,2.757437
17513,SW,December,Belgium,831,1274,51.134861,2.757437
175252,N,December,Belgium,837,1202.6,51.134861,2.757437
9377,SW,December,Germany,845,1197,54.379323,9.013461
157302,SW,October,Belgium,845,1346,51.134861,2.757437
17547,SW,December,Belgium,850,1023.3,51.134861,2.757437
174922021,N,December,Belgium,855,1281.3,51.134861,2.757437
17537,SW,December,Belgium,856,1501,51.134861,2.757437
17634,SW,December,Belgium,863,1098.1,51.134861,2.757437
112064,N,December,Germany,865,1528,54.381,9.009
9349,N,September,Germany,873,1182,54.379323,9.013461
17487,SW,December,Belgium,875,1460.6,51.134861,2.757437
17535,SW,December,Belgium,877,1518,51.134861,2.757437
17526,SW,December,Belgium,887,1694,51.134861,2.757461
17658,SW,November,Belgium,890,1321.8,51.134861,2.757437
112058,N,December,Germany,910,1541,54.381,9.009
157002,SW,December,Belgium,912,1983,51.134861,2.757437
17534,SW,December,Belgium,916,1758,51.134861,2.757451
112061,N,December,Germany,925,1710,54.381,9.009
15805,N,November,Belgium,928,1394,51.13485,2.757461
175182,SW,December,Belgium,951,1638.9,51.134861,2.757437
15757,SW,October,Belgium,980,1704,51.134976,2.757587
