ID,Direction,Country,Length,Weight
112064,N,Germany,925,1710
112061,N,Germany,865,1528
17538,SW,Belgium,779,986
17537,SW,Belgium,856,1501
17536,SW,Belgium,820,1231
17534,SW,Belgium,916,1758
17526,SW,Belgium,887,1694
17522,SW,Belgium,811,1123
17513,SW,Belgium,831,1274
17510,SW,Belgium,775,996
17508,SW,Belgium,805,1148
17499,N,Belgium,830,1044
17492,SW,Belgium,805,1053
17443,SW,Belgium,821,1046
16031,SW,Belgium,817,991
15789,SW,Belgium,807,1254
15777,SW,Belgium,770,896
15714,SW,Belgium,746,917
15706,SW,Belgium,738,811
9424,N,Germany,770,911
9423,N,Germany,693,657
9411,SW,Germany,804,1190
9393,N,Germany,714,701
9377,SW,Germany,845,1197
9374,SW,Germany,762,770
9359,SW,Germany,758,833
9358,N,Germany,738,904
9355,L,Germany,722,765
9349,N,Germany,873,1182
