ID,start_datetime,end_datetime,bank_datetime,popoff_datetime,UTC,pressure_correction,comment
A16031,9/12/2018 18:15,13/02/2019 0:00,9/12/2018 18:00,16/02/2019 4:25,-1,1,
A09359,27/09/2012 12:40,18/10/2012 18:45,27/09/2012 12:25,18/10/2012 19:00,-2,1,
A15714,4/12/2018 13:00,22/12/2018 15:10,4/12/2018 12:45,24/12/2018 7:15,-1,1,
A15777,9/12/2018 18:15,15/01/2019 23:31,9/12/2018 18:00,NA,-1,0,predation_sensor_failure
A15706,09/12/2018 18:15:00,,,7/02/2019 6:05,,,
A17443,02/11/2019 17:15:00,,,28/11/2019 9:30,,,
A17499,29/11/2019 14:20:00,,,19/12/2019 22:10,,,
A17513,14/12/2019 13:00:00,,,30/12/2019 15:55,,,
A09349,26/09/2012 17:15:00,,,2/11/2012 7:50,,,
A09355,26/09/2012 17:00:00,,,30/11/2012 2:50,,,
A09358,27/09/2012 12:40:00,,,28/10/2012 1:00,,,
A09359,27/09/2012 12:40:00,,,18/10/2012 21:00,,,
A09374,14/11/2012 20:05:00,,,18/12/2012 21:50,,,
A09377,10/10/2012 16:10:00,,,28/11/2012 23:00,,,
A09393,14/11/2012 19:05:00,,,16/12/2012 19:20,,,
A09411,10/10/2012 17:05:00,,,25/10/2012 17:20,,,
A09423,26/09/2012 17:15:00,,,30/10/2012 0:05,,,
A09424,22/11/2012 16:30:00,,,14/12/2012 20:15,,,
112061,23/12/2011 00:00:00,,,10/03/2012,,,
112064,23/12/2011 00:00:00,,,18/01/2012,,,
A17534,10/12/2019 13:35:00,,,4/01/2020 8:25,,,
A17526,10/12/2019 13:35:00,,,5/01/2020 7:45,,,
A17522,14/12/2019 14:00:00,,,14/01/2020 14:55,,,
A17492,29/11/2019 14:20:00,,,29/12/2019 18:50,,,
A17508,13/12/2019 11:00:00,,,17/01/2020 17:05,,,
A17536,14/12/2019 13:00:00,,,11/01/2020 21:40,,,
A17538,14/12/2019 13:00:00,,,14/01/2020 19:20,,,
A17537,17/12/2019 16:10:00,,,17/01/2020 16:35,,,
A17510,05/12/2019 14:45:00,,,15/01/2020 19:05,,,
A15789,17/12/2019 16:10:00,,,15/02/2020 17:10,,,
