Species,ID,Sp_ID,Date,SD_Depth,Av_Depth,Min_Depth,Max_Depth,SD_Temp,Av_Temp,Min_Temp,Max_Temp,Temp_at_Min_Depth,Temp_at_Max_Depth,Max_PoV_WF,Behav_Class,SST,MPL.Avg.Lat,MPL.Avg.Lon,MPL.Std.Lat,MPL.Std.Lon,Med.Lat,Med.Lon,MPL.Hori_Dist_Degrees,MPL.Hori_Dist_km
EEL,15789,EEL15789,17/12/2019,2.436658943,4.454690467,-0.09896544,10.1130002,0.512318155,7.879146186,6.766,8.609,6.984,8.578,NA,NA,7.879146186,51.21666667,3,0,0,51.21666667,3,NA,NA
EEL,15789,EEL15789,17/12/2019,2.436658943,4.454690467,-0.09896544,10.1130002,0.512318155,7.879146186,6.766,8.609,6.984,8.578,NA,NA,7.879146186,51.29390197,2.661633592,0.161943889,0.218849102,51.28760457,2.653235156,0.347069327,24.11065582
EEL,15789,EEL15789,18/12/2019,3.175397758,5.814663107,2.3512066,16.49349172,0.138857999,8.533238889,7.984,8.703,8.594,8.609,NA,NA,8.533238889,51.20467851,2.372160014,0.164223407,0.285968489,51.20004444,2.376708327,0.302912161,21.08406542
EEL,15789,EEL15789,19/12/2019,2.506418819,6.708556573,4.19602248,14.11700536,0.207543827,8.564398611,8.219,8.875,8.5,8.828,NA,NA,8.564398611,51.06357177,2.053884439,0.195931005,0.310868047,51.05402238,2.044211479,0.348152916,24.30739127
EEL,15789,EEL15789,20/12/2019,3.589033839,8.283873651,5.29496612,25.23472048,0.257507923,9.06014375,8.656,9.406,8.703,9.313,NA,NA,9.052038599,50.89464173,1.692717338,0.303680634,0.292048588,50.92466992,1.667756203,0.398721752,27.93975091
EEL,15789,EEL15789,21/12/2019,5.693493114,20.53141295,6.42113332,32.57747248,0.089846134,9.449774306,9.203,9.734,9.234,9.406,NA,NA,9.361948012,50.60936262,1.409642194,0.338382072,0.286155115,50.51094728,1.383720307,0.401890169,28.33439443
EEL,15789,EEL15789,22/12/2019,4.953715134,12.4093342,6.274303,27.53639144,0.229015753,9.671714583,9.188,10.047,9.516,9.797,NA,NA,9.668005124,50.39603837,1.15639678,0.312271745,0.285837203,50.35894425,1.111329853,0.331120028,23.45087648
EEL,15789,EEL15789,23/12/2019,7.409052498,15.77892211,7.12599848,29.09553168,0.075498896,9.297825,9.078,9.422,9.313,9.359,NA,NA,9.303903866,50.22146054,0.88095781,0.263823656,0.340669885,50.17670753,0.836925189,0.326104349,23.18083034
EEL,15789,EEL15789,24/12/2019,6.507861746,19.26170446,7.25236224,36.24479468,0.03925632,9.199479167,9.125,9.297,9.156,9.25,NA,NA,9.1812425,50.09725077,0.614557886,0.223659429,0.372055949,50.06127356,0.627245797,0.293933642,20.94851285
EEL,15789,EEL15789,25/12/2019,6.112055471,16.29431321,7.5102986,28.23749764,0.06563796,9.189711111,9.047,9.344,9.141,9.313,NA,NA,9.173995842,50.00444021,0.347941647,0.207155468,0.403408377,50.00041969,0.330076622,0.282308375,20.15904234
